date,lab_id,equipment_id,equipment_type,max_capacity_hrs,utilization_hrs,utilization_pct,idle_hrs,technical_downtime_hrs,planned_maintenance_hrs,workflow_delay_events,avg_delay_minutes,primary_procedure,redundancy_available,total_cases_day_lab
15-07-2023,Lab_CHN_02,ICSI_01,ICSI_Workstation,10,8.16,0.82,1.84,0,0,0,0,IVF,TRUE,4
27-07-2023,Lab_CHN_01,INC_A1,incubator,18,15.6,0.87,2.4,0,0,0,0,Embryo_Assessment,FALSE,10
24-10-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,15.67,0.87,2.33,0,0,0,0,IVF,FALSE,2
21-02-2024,Lab_CHN_01,INC_A2,incubator,18,6.56,0.36,10.04,0,1.4,1,119.8,ICSI,TRUE,15
24-02-2023,Lab_CHN_01,INC_B1,incubator,18,15.01,0.83,2.99,0,0,0,0,Embryo_Assessment,TRUE,9
10-05-2024,Lab_CHN_01,MIC_X1,Microscope,18,7.49,0.42,10.51,0,0,0,0,Fertilization_Check,TRUE,18
31-08-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,10,5.98,0.6,4.02,0,0,0,0,IVF,TRUE,3
07-08-2024,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,11.97,0.66,6.03,0,0,0,0,Fertilization_Check,TRUE,11
04-08-2024,Lab_CHN_02,INC_B1,incubator,10,8.63,0.86,1.37,0,0,3,114.9,IVF,TRUE,3
12-06-2024,Lab_CHN_02,MIC_X2,Microscope,18,14.1,0.78,3.9,0,0,0,0,IVF,TRUE,10
21-04-2023,Lab_CHN_01,ICSI_01,ICSI_Workstation,18,11.55,0.64,6.45,0,0,1,72.8,IVF,FALSE,12
29-03-2023,Lab_CHN_01,MIC_X1,Microscope,18,7.42,0.41,10.58,0,0,0,0,Embryo_Assessment,TRUE,15
21-01-2024,Lab_CHN_01,INC_A2,incubator,10,7.18,0.72,2.82,0,0,0,0,IVF,TRUE,6
19-06-2023,Lab_CHN_02,INC_A2,incubator,18,8.97,0.5,9.03,0,0,0,0,Embryo_Assessment,TRUE,11
13-04-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,11.05,0.61,6.95,0,0,0,0,Embryo_Assessment,TRUE,14
12-06-2023,Lab_CHN_01,ICSI_02,ICSI_Workstation,18,15.03,0.84,2.97,0,0,0,0,Fertilization_Check,TRUE,15
06-06-2024,Lab_CHN_01,INC_A2,incubator,18,9.38,0.52,8.62,0,0,0,0,Embryo_Assessment,TRUE,6
02-04-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,18,17.1,0.95,0.9,0,0,0,0,Embryo_Assessment,TRUE,5
04-07-2024,Lab_CHN_02,MIC_X1,Microscope,18,11.13,0.62,6.87,0,0,0,0,IVF,TRUE,13
01-09-2024,Lab_CHN_01,ICSI_02,ICSI_Workstation,10,3.38,0.34,6.62,0,0,0,0,IVF,TRUE,5
22-12-2024,Lab_CHN_02,ICSI_01,ICSI_Workstation,10,6.45,0.64,3.55,0,0,0,0,Embryo_Assessment,FALSE,4
22-02-2023,Lab_CHN_02,ICSI_02,ICSI_Workstation,18,4.5,0.25,13.5,0,0,0,0,ICSI,TRUE,16
11-02-2024,Lab_CHN_02,MIC_X1,Microscope,10,7.12,0.71,2.88,0,0,0,0,Fertilization_Check,TRUE,3
